REPAIRS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total # Active Wells,83,,,"  270,486 ",Total # People Served,,,29,# of additional repairs made to the same wells,,,,,,0,# of repairs to wells NOT Ours,,,,,,,,,,,,,,"  270,486 "
,ORANGE = potential duplicate -- please review,,,,,,,,,(DD/MM/YYYY),(MM/DD/YYYY),,(MM/DD/YYYY),,,,,,,,,,,,,,,,,,
Well #,Village,Active?,New/Repair,NOT Ours?,#  Served,Latitude,Longitude,District,Region,TZ Repair Date,US Repair Date,Pump Mfg/Model,Last Oper. Date,Pump Type,Depth /Ft,Repair Description,Materials Used,Photos (Yes/No),Dedicated To,Dedicated By,Village Contact,Contact Tel #,H2O Leader,UTM East,UTM North,Total Costs (TSH),Total Costs (USD),Photos Sent to whom,Other Comments,,#  Unique People Served
R30,Kashasha - Bukoba,YES,Repair,1,"  2,900 ",10 14’42.84” S,310 26’52.89”E,Bukoba Rural,Kagera,25/06/2019,6/25/2019,Electric Pump,,,,Replacement of parts and Flashing ,30 meters Sub-mersible Cable,No photos,,,,,,,,,,,,,"  2,900 "
R31,Kashasha - Bukoba,PRIOR,Repair,1,"  1,500 ",1014ʹ42.84ʺS,310 26ʹ52.89ʺE,Bukoba Rural,Kagera,31/04/2021,4/31/2021,Electric Pump,1 mo. not working,,,Replacement of parts and Flashing,77 mtrs water proof cable,No photos,,,,,,,,,,,,,"  1,500 "
R32,Kashasha - Misenyi,YES,Repair,1,"  2,800 ","1° 14' 5.36"" S","31° 29' 51.77"" E",Misenyi,Kagera,21/7/2025,7/21/2025,Indian Mark II,3 weeks not working,,, Service of parts,1 pc Riser,Yes - 4 photos,,,,,,,,,,,,,"  2,800 "
R33,Katunga Kasambya,YES,Repair,1,"  2,800 ","1 ° 12' 28.44"" S","31° 26' 2.71"" E",Bukoba Rural,Kagera,19/7/2025,7/19/2025,Afridev,3 weeks not working,,, Service of parts,1 pc Riser,Yes - 4 photos,,,,,,,,,,,,,"  2,800 "
R34,Katwe,YES,Repair,1,"  4,800 ",1036ʹ9.70ʺS,31016 ʹ44.48ʺE,Karagwe,Kagera,4/1/2019,1/4/2019,TANIRA,3 mo.s not working,,,Replacement of parts and Flashing,"3pcs riser, 1pcs rod",No photos,,,,,,,,,,,,,"  4,800 "
R35,Kazinga,YES,Repair,1,"  2,800 ",?,?,Bukoba Rural,Kagera,25/2/2023,2/25/2023,Indian Mark II,3 mo.s not working,,,Service of parts and Flashing,,No photos,,,,,,,,,,,,,"  2,800 "
R36,KIDO,YES,Repair,1,"  1,700 ",10 24’23.40”S,300 45’40.47”E,Kyerwa,Kagera,9/2/2022,2/9/2022,Indian Mark II,36 mo.s not working,,,Replacement of parts and Flashing,"5pcs of riser, 4pcs of rod",No photos,,,,,,,,,,,,,"  1,700 "
R37,Kijongo A,YES,Repair,1,"  1,800 ",?,?,Bukoba Rural,Kagera,28/6/2023,6/28/2023,Indian Mark II,1 day not working,,,Flashing and Replacement,"2 pcs Rods. 1 pc cyl, 4 pcs risers",,,,,,,,,"  2,341,138 ", $ 936 ,,,,"  1,800 "
R38,Kijongo A (Second repair),PRIOR,Repair,1,"  3,600 ",?,?,Bukoba Rural,Kagera,12/8/2023,8/12/2023,Indian Mark II,1 day not working,,,Flashing and Replacement,"1 pc cyl, 3 pcs Riser, 3 pcs rod",,,,,,,,,,,,,,"  3,600 "
R39,Kijongo B,YES,Repair,1,"  2,600 ","1° 25'6.49"" S","31°33'42.37"" E",Bukoba Rural,Kagera,7/8/2023,8/7/2023,Tanira,24 mo.s not working,,,Service of parts and flashing,"2pcs Riser, 1pc Rod, 1pc Cylinder",Yes - 3 photos,,,,,,,,,,,,,"  2,600 "
R40,Kijongo B (Second Repair),PRIOR,Repair,1,3570,"1° 25'6.49"" S","31°33'42.37"" E",Bukoba Rural,Kagera,22/03/2024,3/22/2024,Tanira,3 weeks not working,,,Service of parts and Flashing,Hoist Track,No,,,,,,,,,,,,,"  3,570 "
R41,Kijongo B (Third Repair),PRIOR,Repair,1,"  1,200 ","1° 25'6.49"" S","31°33'42.37"" E",Bukoba Rural,Kagera,17/10/2025,10/17/2025,Tanira,4 weeks not working,,,Service an Replacement of Materials,1 pc of Cylinder,Yes - 3 photos,,,,,,,,,,,,,"  1,200 "
R42,KIJONGO C (Kitundu),YES,Repair,1,"  3,600 ",?,?,Bukoba Rural,Kagera,12/8/2023,8/12/2023,Indian Mark II,15 YR.s not working,,,Replacement of parts and Flashing ,"1pc of Cylinder, 3pcs Riser, 3 pcs rod",Yes - 3 photos,,,,,,,,"  2,706,138 "," $ 1,082 ",Photos sent before,This was entered prior to Nov 2024,,"  3,600 "
R43,Kikagate-Ngenge,YES,Repair,1,"  1,900 ","1° 43'8.08"" S","31°26'40.08"" E",Muleba,Kagera,27/6/2025,6/27/2025,Tanira,1 day not working,,,,no parts,Yes - 3 photos,,,---,---,,,,,,,,,"  1,900 "
R44,Kikagate-Ngenge (2nd rpr),PRIOR,Repair,1,"  2,500 ","1°43'7.96"" s","31°26'40.2"" E",Muleba,Kagera,1/8/2025,8/1/2025,Indian Mark II,1 week not working,,,Svc parts+Flash &change whole syst,"1 pc cyl, 9pcs Riser, 9pcs Rod, 1 pc Top hand pump, 1 pc Chain",Yes - 3 photos,,,,,,,,,,,Thankful!,,"  2,500 "
R45,KIKAGATI,YES,Repair,1,"  3,680 ",1034ʹ7.02ʺ S,31025ʹ2.92ʺ E,Bukoba Rural,Kagera,7/12/2020,12/7/2020,Indian Mark II,2 mo.s not working,,,Replacement of part,1pc of chain,No photos,,,,,,,,,,,,,"  3,680 "
R46,KIKAGATI,PRIOR,Repair,1,"  4,800 ",?,?,Bukoba Rural,Kagera,22/02/2023,2/22/2023,Indian Mark II,1 day not working,,,Flashing and Replacement,"4 pcs Riser, 4 pcs Rod, 1 pc cyl",,,,,,,,,"  2,369,138 ", $ 948 ,,,,"  4,800 "
R47,KIKAGATI,PRIOR,Repair,1,"  3,500 ",?,?,Bukoba Rural,Kagera,23/2/2023,2/23/2023,Indian Mark II,,---,134.4,Replacement and Maintenance,3 pcs Rods; 3 pcs Risers,Yes,,,---,---,,,,,,This R2 Kikagati 3500 repair is not on the same well as R1 Kikagate 4800.,,,"  3,500 "
R49,KILAMBA SECONDARY,YES,Repair,1,"  1,400 ","1°44' 11.86"" S","31° 27' 13.57"" E",Muleba,Kagera,23/10/2025,10/23/2025,Tanira,6 days not working,,,"Service and Replacement,","Top· Hand Pump,",Yes - 5 photos,,,,,,,,,,,Grateful!,,"  1,400 "
R50,Kinango,YES,Repair,1,"  3,500 ",2°39ʹ6.99ʺS,330 20ʹ 30.84ʺE,Magu,Mwanza,2/3/2022,3/2/2022,?,2 mo.s not working,,,Service of parts and Flashing,"2pcs of riser, 2pcs of rod",No photos,,,,,,,,,,,,,"  3,500 "
R51,Kinango,PRIOR,Repair,1,"  3,500 ","2° 39'6.99"" S","33° 20' 30.84"" E",Magu,Mwanza,25/2/2023,2/25/2023,Indian Mark II,,,,Maintenance,"2 pc chain, 2 pcs rods",,,,---,---,,,,,,,,,"  3,500 "
R52,Kinango,PRIOR,Repair,1,"  3,500 ","2° 39'6.99"" S","33° 20' 30.84"" E",Magu,Mwanza,25/2/2023,2/25/2023,Indian Mark II,,,,Adjustment of Pump Rod,R,,,,---,---,,,,,,,,,"  3,500 "
R53,KISHANJE,YES,Repair,1,"  2,750 ",10 6’46.8”S,310 50’14”E,Bukoba Rural,Kagera,23/02/2021,2/23/2021,Indian Mark II,2 mo.s not working,,,Replacement of parts and Flashing,"2pcs riser, 2pcs rod, 1pc Chain",No photos,,,,,,,,,,,,,"  2,750 "
xxxxx,Kitobo A -- NO DATA SHEET,YES,Repair,1,450,1° 13' 41.83'' S ,31° 25' 12.89'' E,Msenyi,Kagera,26/10/2025,10/26/2025,Tanira,2Yrs Not Working,,,Changing of Part,"2pcs Rod, 1pcs Rsr, ",Yes,,,,,,,,,,,,,  450 
R54,Kitobo B,YES,Repair,1,  320 ,"1 ° 19' 33.94"" s","31 ° 48' 11.9"" E",Misenyi,Kagera,26/10/2025,10/26/2025,Tanira,9 mo.s not working,,,Service and changing of parts,"1 pc riser, 1 pc rod, 1 pc cyl",Yes - 6 photos,,,,,,,,,,,,,  320 
R55,Kiya,YES,Repair,1,"  1,700 ","1° 44' 47.09"" S","31 ° 25' 14.12"" E",Muleba,Kagera,7/5/2025,5/7/2025,Tanira,5 days not working,,,Service of part--pump handle broken,no parts,Yes - 4 photos,,,,,,,,,,,,,"  1,700 "
R56,Kiya  (2nd repair),PRIOR,Repair,1,"  1,700 ","1° 44' 47.09"" S","31 ° 25' 14.12"" E",Muleba,Kagera,19/6/2025,6/19/2025,Tanira,1 week not working,,,Service-remove mud &particles from inside the riser,no parts,Yes - 2 photos,,,,,,,,,,,,,"  1,700 "
R57,Kobunswi (N03),YES,Repair,1,"  3,860 ",10 27’3.75” S,310 26’31.08” E,Bukoba Rural,Kagera,27/09/2021,9/27/2021,Electric Pump,1 mo. not working,,,Service of parts and Flashing,Hoist Track,No photos,,,,,,,,,,,,,"  3,860 "
R58,Kobunswi (N03),PRIOR,Repair,1,"  3,860 ",10 27’3.75” S,310 26’31.08” E,Bukoba Rural,Kagera,2/8/2023,8/2/2023,Electric Pump,1 day not working,,,Flashing and Replacement,25 M2 of sub-missible cable,,,,,,,,,"  1,912,868 ", $ 765 ,,,,"  3,860 "
